parcel,origin_osmid,comm,event_cnt,dept_time,type,destin_osmid
19008121,110412690,5,0,5034.0,local,110397253
19223115,110459170,5,1,4867.0,local,110397253
19308116,2481944221,5,2,5714.0,local,110397253
19109125,110412273,0,0,2078.0,local,110397253
19310115,110429434,100,0,1000000.0,local,110397253
18815071,110450104,5,3,5892.0,local,110397253
19308132,2481944221,5,4,5252.0,local,110397253
19102132,110435308,1,0,2196.0,local,110397253
18815070,3387083180,5,5,5064.0,local,110397253
18810005,110396428,5,6,5161.0,local,110397253
19004240,110348323,5,7,5517.0,local,110397253
19117216,110392614,5,8,6016.0,local,110397253
19226106,110410670,0,1,2628.0,local,110397253
19115120,110348621,5,9,5376.0,local,110397253
18810038,110396428,5,10,5540.0,local,110397253
19221225,110392602,100,1,1000000.0,local,110397253
19303035,110414616,100,2,1000000.0,local,110397253
19209226,110383326,100,3,1000000.0,local,110397253
19023232,110366323,100,4,1000000.0,local,110397253
19016224,110438781,5,11,6001.0,local,110397253
19210223,110401282,5,12,5979.0,local,110397253
19009107,110392830,5,13,6353.0,local,110397253
19205232,3367883696,100,5,1000000.0,local,110397253
19016109,110460422,5,14,5807.0,local,110397253
19117208,110392614,100,6,1000000.0,local,110397253
18814050,110367728,5,15,5687.0,local,110397253
19121115,110407258,5,16,6307.0,local,110397253
19308119,2481944221,100,7,1000000.0,local,110397253
19208118,110383326,5,17,6235.0,local,110397253
19309221,110386918,5,18,5930.0,local,110397253
19204123,3367883696,100,8,1000000.0,local,110397253
19122219,110388967,100,9,1000000.0,local,110397253
19309222,110451170,5,19,5602.0,local,110397253
19022222,110365449,5,20,6333.0,local,110397253
18814062,110367725,100,10,1000000.0,local,110397253
19223218,110460424,5,21,6206.0,local,110397253
19215234,110438784,5,22,6183.0,local,110397253
19213233,110383328,5,23,6359.0,local,110397253
19217135,110392600,5,24,6309.0,local,110397253
19209227,110401286,5,25,6336.0,local,110397253
19106115,110422635,5,26,7688.0,local,110397253
19019131,2366744030,100,11,1000000.0,local,110397253
19005233,3945189981,5,27,6367.0,local,110397253
19311213,110386925,5,28,6460.0,local,110397253
19110205,110412273,5,29,6130.0,local,110397253
18810035,110396428,5,30,7156.0,local,110397253
19203162,3401274918,5,31,7122.0,local,110397253
19222227,110454526,0,2,2039.0,local,110397253
19312117,110451170,5,32,6929.0,local,110397253
19022223,110392632,100,12,1000000.0,local,110397253
19314207,110421540,0,3,2088.0,local,110397253
18815024,110393217,5,33,7280.0,local,110397253
19008130,110348362,100,13,1000000.0,local,110397253
19219226,110460424,100,14,1000000.0,local,110397253
19221212,110392602,100,15,1000000.0,local,110397253
19203202,110382855,5,34,6824.0,local,110397253
19308122,2481944221,1,1,2490.0,local,110397253
19313236,110414599,5,35,6621.0,local,110397253
18815090,110450104,0,4,2573.0,local,110397253
19302025,110382886,100,16,1000000.0,local,110397253
18814054,110367728,0,5,2069.0,local,110397253
19313204,110421540,100,17,1000000.0,local,110397253
18815020,110393217,5,36,6856.0,local,110397253
19109120,110388963,100,18,1000000.0,local,110397253
19006217,110398036,5,37,7361.0,local,110397253
19020127,2366744030,5,38,7523.0,local,110397253
19007124,110455262,0,6,2428.0,local,110397253
18814012,110437088,5,39,7722.0,local,110397253
19312140,110386918,5,40,7781.0,local,110397253
19115217,110392620,0,7,2740.0,local,110397253
18810036,110396428,5,41,7447.0,local,110397253
19213210,110438785,5,42,7454.0,local,110397253
19219228,110392609,100,19,1000000.0,local,110397253
19120110,110407258,100,20,1000000.0,local,110397253
19313343,110421520,5,43,6875.0,local,110397253
18810041,110396428,100,21,1000000.0,local,110397253
19314215,1900719912,5,44,6728.0,local,110397253
