eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
0,24,96,residential,1,1900.0,25.0,4.584653374926989,51.23662689904994,"LINESTRING (525597.8473863715 4194822.636620187, 525591.5996240728 4194832.902335367, 525589.4259859432 4194836.390528332, 525570.2740684774 4194865.755157212)"
1,96,24,residential,1,1900.0,25.0,4.584653374926989,51.23662689904994,"LINESTRING (525570.2740684774 4194865.755157212, 525589.4259859432 4194836.390528332, 525591.5996240728 4194832.902335367, 525597.8473863715 4194822.636620187)"
2,61,49,residential,1,1900.0,25.0,6.153875232273374,68.77375091946104,"LINESTRING (527525.5941551451 4195645.03238789, 527494.787160801 4195648.823420208, 527477.4783867188 4195659.205968452, 527467.6978802896 4195673.852140483)"
3,49,61,residential,1,1900.0,25.0,6.153875232273374,68.77375091946104,"LINESTRING (527467.6978802896 4195673.852140483, 527477.4783867188 4195659.205968452, 527494.787160801 4195648.823420208, 527525.5941551451 4195645.03238789)"
4,49,68,residential,1,1900.0,25.0,5.600743171468914,62.59212306067182,"LINESTRING (527467.6978802896 4195673.852140483, 527464.4434064443 4195677.036653958, 527453.5281395395 4195733.918468043)"
5,68,49,residential,1,1900.0,25.0,5.600743171468914,62.59212306067182,"LINESTRING (527453.5281395395 4195733.918468043, 527464.4434064443 4195677.036653958, 527467.6978802896 4195673.852140483)"
6,62,13,residential,1,1900.0,25.0,13.14793815002376,146.93717199400714,"LINESTRING (526040.6950962928 4195602.734791324, 526029.5297070184 4195594.744086654, 526013.7237666522 4195572.570124499, 526012.5548748109 4195553.083278067, 526005.9934489536 4195526.44512356, 525994.9357158468 4195506.638443242, 525965.7031778274 4195485.254154988)"
7,13,62,residential,1,1900.0,25.0,13.14793815002376,146.93717199400714,"LINESTRING (525965.7031778274 4195485.254154988, 525994.9357158468 4195506.638443242, 526005.9934489536 4195526.44512356, 526012.5548748109 4195553.083278067, 526013.7237666522 4195572.570124499, 526029.5297070184 4195594.744086654, 526040.6950962928 4195602.734791324)"
8,109,188,residential,1,1900.0,25.0,1.000502267476249,11.181294898035862,"LINESTRING (525621.8343229317 4194559.922636312, 525627.2455370317 4194550.153614335)"
9,188,109,residential,1,1900.0,25.0,1.000502267476249,11.181294898035862,"LINESTRING (525627.2455370317 4194550.153614335, 525621.8343229317 4194559.922636312)"
10,245,248,unclassified,1,1900.0,25.0,16.150710582133275,180.49520096259806,"LINESTRING (526593.9641453555 4198606.387585456, 526585.3590816994 4198604.284838144, 526430.1674834883 4198566.724446651, 526418.3234017683 4198563.468614226)"
11,248,245,unclassified,1,1900.0,25.0,16.150710582133275,180.49520096259806,"LINESTRING (526418.3234017683 4198563.468614226, 526430.1674834883 4198566.724446651, 526585.3590816994 4198604.284838144, 526593.9641453555 4198606.387585456)"
12,22,31,residential,1,1900.0,25.0,49.65063469567664,554.8796903852999,"LINESTRING (527074.6737480382 4196505.716675322, 526944.1083881971 4196454.969613251, 526907.9582790094 4196435.323282007, 526902.6769401429 4196410.785539416, 526895.9669690428 4196393.011188073, 526864.5135456718 4196388.481041386, 526812.9249806412 4196358.89871903, 526784.337747645 4196335.294509946, 526748.0711847548 4196340.279863887, 526715.0489279252 4196345.042953095, 526682.902539093 4196337.282543715, 526657.4639107351 4196321.111722535, 526624.0511338625 4196297.259386057, 526598.9483844524 4196285.860776529)"
13,31,22,residential,1,1900.0,25.0,49.650634695676644,554.8796903853,"LINESTRING (526598.9483844524 4196285.860776529, 526624.0511338625 4196297.259386057, 526657.4639107351 4196321.111722535, 526682.902539093 4196337.282543715, 526715.0489279252 4196345.042953095, 526748.0711847548 4196340.279863887, 526784.337747645 4196335.294509946, 526812.9249806412 4196358.89871903, 526864.5135456718 4196388.481041386, 526895.9669690428 4196393.011188073, 526902.6769401429 4196410.785539416, 526907.9582790094 4196435.323282007, 526944.1083881971 4196454.969613251, 527074.6737480382 4196505.716675322)"
14,230,232,residential,1,1900.0,25.0,8.640117551490954,96.55920374934013,"LINESTRING (526954.6702994227 4195052.516233411, 526942.5265378882 4195088.136239132, 526946.260240478 4195099.643118992, 526986.0659800906 4195124.216726149)"
15,232,230,residential,1,1900.0,25.0,8.640117551490954,96.55920374934013,"LINESTRING (526986.0659800906 4195124.216726149, 526946.260240478 4195099.643118992, 526942.5265378882 4195088.136239132, 526954.6702994227 4195052.516233411)"
16,14,15,residential,1,1900.0,25.0,17.39583421823451,194.4103064174621,"LINESTRING (525780.0884950876 4194954.640893552, 525667.3866736203 4195112.859463851)"
17,15,14,residential,1,1900.0,25.0,17.39583421823451,194.4103064174621,"LINESTRING (525667.3866736203 4195112.859463851, 525780.0884950876 4194954.640893552)"
18,214,85,residential,1,1900.0,25.0,11.264962035484032,125.8936302579798,"LINESTRING (526191.6117085357 4195642.769900677, 526203.1020251032 4195628.79340238, 526229.6158171843 4195592.874320666, 526268.2005813975 4195542.980777268)"
19,85,214,residential,1,1900.0,25.0,11.264962035484032,125.8936302579798,"LINESTRING (526268.2005813975 4195542.980777268, 526229.6158171843 4195592.874320666, 526203.1020251032 4195628.79340238, 526191.6117085357 4195642.769900677)"
20,85,88,residential,1,1900.0,25.0,34.99258844024646,391.06603084763583,"LINESTRING (526268.2005813975 4195542.980777268, 526496.4709893566 4195225.827286753)"
21,88,85,residential,1,1900.0,25.0,34.99258844024646,391.06603084763583,"LINESTRING (526496.4709893566 4195225.827286753, 526268.2005813975 4195542.980777268)"
22,88,91,residential,1,1900.0,25.0,17.57557017673164,196.41897828265132,"LINESTRING (526496.4709893566 4195225.827286753, 526610.5373506636 4195066.115446975)"
23,91,88,residential,1,1900.0,25.0,17.57557017673164,196.41897828265132,"LINESTRING (526610.5373506636 4195066.115446975, 526496.4709893566 4195225.827286753)"
24,91,92,residential,1,1900.0,25.0,18.14897924668822,202.82721554188893,"LINESTRING (526610.5373506636 4195066.115446975, 526665.0399675883 4194986.340654135, 526722.4051338257 4194897.17793717)"
25,92,91,residential,1,1900.0,25.0,18.14897924668822,202.82721554188893,"LINESTRING (526722.4051338257 4194897.17793717, 526665.0399675883 4194986.340654135, 526610.5373506636 4195066.115446975)"
26,159,252,residential,1,1900.0,25.0,12.76733200359777,142.68363884217445,"LINESTRING (526630.8439541995 4194904.202873159, 526601.7840580415 4194951.385092453, 526550.020905913 4195021.494173239)"
27,252,159,residential,1,1900.0,25.0,12.76733200359777,142.68363884217445,"LINESTRING (526550.020905913 4195021.494173239, 526601.7840580415 4194951.385092453, 526630.8439541995 4194904.202873159)"
28,252,253,residential,1,1900.0,25.0,17.838271664883578,199.35484650071052,"LINESTRING (526550.020905913 4195021.494173239, 526435.0313532985 4195184.144085019)"
29,253,252,residential,1,1900.0,25.0,17.838271664883578,199.35484650071052,"LINESTRING (526435.0313532985 4195184.144085019, 526550.020905913 4195021.494173239)"
30,253,254,residential,1,1900.0,25.0,34.73800718165509,388.2209117306112,"LINESTRING (526435.0313532985 4195184.144085019, 526209.7642475127 4195499.944149205)"
31,254,253,residential,1,1900.0,25.0,34.73800718165509,388.2209117306112,"LINESTRING (526209.7642475127 4195499.944149205, 526435.0313532985 4195184.144085019)"
32,254,207,residential,1,1900.0,25.0,20.821656478919156,232.6962056204644,"LINESTRING (526209.7642475127 4195499.944149205, 526120.5060821883 4195622.42746148, 526077.7398249039 4195691.148014097)"
33,207,254,residential,1,1900.0,25.0,20.821656478919156,232.6962056204644,"LINESTRING (526077.7398249039 4195691.148014097, 526120.5060821883 4195622.42746148, 526209.7642475127 4195499.944149205)"
34,239,241,residential,1,1900.0,25.0,4.889029570006229,54.63823837736062,"LINESTRING (531484.4286137987 4194918.440287262, 531459.9991451139 4194869.649523774)"
35,241,239,residential,1,1900.0,25.0,4.889029570006229,54.63823837736062,"LINESTRING (531459.9991451139 4194869.649523774, 531484.4286137987 4194918.440287262)"
36,100,102,residential,1,1900.0,25.0,7.122584377211406,79.59973599923342,"LINESTRING (525486.44583068 4194978.87565606, 525530.8131719125 4194917.868229026, 525533.3727262059 4194914.658601291)"
37,102,100,residential,1,1900.0,25.0,7.122584377211406,79.59973599923342,"LINESTRING (525533.3727262059 4194914.658601291, 525530.8131719125 4194917.868229026, 525486.44583068 4194978.87565606)"
38,24,105,residential,1,1900.0,25.0,4.188555199729438,46.809959764522105,"LINESTRING (525597.8473863715 4194822.636620187, 525559.4586114738 4194795.799719322)"
39,105,24,residential,1,1900.0,25.0,4.188555199729438,46.809959764522105,"LINESTRING (525559.4586114738 4194795.799719322, 525597.8473863715 4194822.636620187)"
40,105,139,residential,1,1900.0,25.0,2.7929455719811465,31.213070764205927,"LINESTRING (525559.4586114738 4194795.799719322, 525547.1974085314 4194789.115508008, 525543.1471806304 4194785.408201491, 525539.3398235544 4194774.290085221)"
41,139,105,residential,1,1900.0,25.0,2.7929455719811465,31.213070764205927,"LINESTRING (525539.3398235544 4194774.290085221, 525543.1471806304 4194785.408201491, 525547.1974085314 4194789.115508008, 525559.4586114738 4194795.799719322)"
