link_id,x,y,lat,lon,angle
0,525599.3422942413,4194823.546428112,37.90057395797909,-122.70881986404301,328.9600853743211
0,525594.003975346,4194832.317320047,37.90065315965907,-122.70888027273017,327.9603305943643
0,525588.5171727926,4194840.987394973,37.90073145682648,-122.70894237403833,327.17537150756243
0,525582.9247360366,4194849.561984445,37.900808896326744,-122.70900568039382,327.17533277132986
0,525577.3322992806,4194858.136573917,37.90088633579248,-122.70906898688165,327.17529403046007
0,525571.7398625246,4194866.7111633895,37.900963775223694,-122.70913229350184,327.17529403046007
1,525568.8082744303,4194864.799151034,37.9009466247739,-122.70916570649428,147.1752346253897
1,525574.4007111863,4194856.224561562,37.900869185360364,-122.70910239985352,147.17527337494897
1,525579.9931479424,4194847.64997209,37.90079174591228,-122.70903909334513,147.1753121267277
1,525585.5726031561,4194839.095588199,37.90071448890636,-122.70897593390929,147.96027185925317
1,525591.0302918868,4194830.471711526,37.90063660895717,-122.70891416209163,148.96002747657508
1,525596.3524785016,4194821.726812262,37.90055764201841,-122.70885393595321,148.96002747657508
2,527525.8078935489,4195646.769286245,37.90793734803435,-122.68687610227894,277.237709317245
2,527514.4212991205,4195648.170492315,37.907950321493715,-122.68700557689088,277.2376294807734
2,527503.2444711031,4195649.532782266,37.90796293772055,-122.68713266683754,284.25414007700755
2,527492.7904754304,4195652.061809983,37.90798604766064,-122.68725148973967,301.2555928672102
2,527483.2789382202,4195657.710375083,37.90803724510394,-122.68735947280813,314.8267921499231
2,527475.5243962245,4195665.28323977,37.90810573290814,-122.687447395934,326.56797787192227
2,527469.1532161204,4195674.823993158,37.90819191526633,-122.6875195077387,326.56797787192227
3,527466.2425444588,4195672.880287809,37.9081744847313,-122.68755269225741,146.56791319728285
3,527472.8421474493,4195663.063515056,37.9080858077568,-122.68747799252525,134.82671930958145
3,527481.1518308731,4195654.961786535,37.9080125366019,-122.68738377454832,121.25551153682835
3,527491.4667762129,4195648.863111239,37.9079572580967,-122.68726666950404,104.25405764578034
3,527502.6072278843,4195646.097901675,37.907931998730675,-122.68714004688256,97.23754675437476
3,527513.9938223129,4195644.696695604,37.907919025419226,-122.68701057227806,97.23762656995268
3,527525.3804167414,4195643.295489535,37.90790605196553,-122.68688109771998,97.23762656995268
4,527469.270834465,4195674.619157538,37.90819006554982,-122.68751817757538,334.29069570772225
4,527465.0579198232,4195683.12030923,37.90826681286167,-122.68756577772118,349.37286805938544
4,527463.0956923794,4195693.345900379,37.90835903441016,-122.68758770943207,349.37285491580235
4,527461.1334649356,4195703.571491527,37.90845125595335,-122.68760964119694,349.37284179850917
4,527459.1712374918,4195713.797082677,37.90854347749125,-122.68763157301575,349.372828649093
4,527457.209010048,4195724.022673826,37.908635699023854,-122.68765350488856,349.3728155132249
4,527455.2467826041,4195734.248264975,37.90872792055117,-122.68767543681534,349.3728155132249
5,527451.8094964749,4195733.5886711115,37.90872207944555,-122.68771456318314,169.37277807157068
5,527453.7717239187,4195723.363079962,37.908629857925234,-122.68769263120915,169.3727912163522
5,527455.7339513625,4195713.137488813,37.908537636399615,-122.68767069928914,169.3728043459747
5,527457.6961788064,4195702.911897664,37.908445414868694,-122.6876487674231,169.37281748026703
5,527459.6584062502,4195692.686306516,37.90835319333251,-122.68762683561103,169.3728306249601
5,527461.7663225832,4195682.023495244,37.90825702676808,-122.68760326322422,154.29064346381347
5,527466.1249261142,4195673.085123429,37.90817633444743,-122.68755402242128,154.29064346381347
6,526039.6766279193,4195604.157894332,37.907597055473346,-122.70378313412027,234.4785732812106
6,526030.8523221533,4195597.7865959555,37.90753988404671,-122.70388374476806,221.36964449251073
6,526023.899815784,4195589.860908192,37.90746864939069,-122.70396311884971,215.55018487972043
6,526017.7629618723,4195581.24772074,37.90739119496786,-122.70403323920381,212.65145914595976
6,526011.9177574025,4195571.6888208445,37.90730520852865,-122.70410007591205,183.59943188864588
6,526011.295795525,4195561.293987311,37.90721153849045,-122.70410752616576,186.00518759058622
6,526010.2720068069,4195551.132287903,37.907119981160626,-122.70411953892011,193.96296375188803
6,526007.7638048482,4195540.949459845,37.907028275842144,-122.70414843815612,193.9629455550781
6,526005.3476032135,4195531.040453901,37.90693903582204,-122.70417628090264,203.39996205700479
6,526001.312756181,4195521.651063374,37.906854525318934,-122.70422251748006,209.25321405822856
6,525996.3946641482,4195512.773856857,37.90677465631475,-122.70427878267954,220.39745362603367
6,525990.0626094879,4195505.241905434,37.906706952365354,-122.70435108351926,233.88114094119686
6,525981.5983911414,4195499.050130883,37.90665138818679,-122.70444758993554,233.8810811753353
6,525973.134172795,4195492.858356332,37.90659582392795,-122.70454409620694,233.88102140762965
6,525964.6699544485,4195486.666581782,37.90654025958886,-122.70464060233344,233.88102140762965
7,525966.7364012063,4195483.841728194,37.906514740409975,-122.7046171976706,53.88097633662886
7,525975.2006195529,4195490.0335027445,37.906570304730174,-122.70452069156008,53.881036094746946
7,525983.6648378993,4195496.225277295,37.90662586897013,-122.70442418530467,53.88109587423128
7,525992.4298264557,4195502.696799911,37.90668394588293,-122.70432424745863,40.39742552056504
7,525999.2566604092,4195510.788120196,37.906756677222276,-122.7042462981612,29.25319931835287
7,526004.4479702696,4195520.105638877,37.90684050689958,-122.70418690910704,23.399955388666
7,526008.6540263706,4195529.92954288,37.90692892872961,-122.70413870925306,13.96295140419079
7,526011.1622283295,4195540.112370936,37.90702063404737,-122.70410981004464,13.96296960370023
7,526013.7121097608,4195550.535424119,37.907114503294665,-122.70408042797267,6.005204134304961
7,526014.7835469269,4195561.010884962,37.90720888716497,-122.7040678618247,3.5994515624950054
7,526015.1392599256,4195570.6417374555,37.9072956791141,-122.70406346779025,32.65144042168288
7,526020.6626281346,4195579.289641456,37.907373464004735,-122.7040003249648,35.5501618635796
7,526026.639416397,4195587.689972084,37.907449004526406,-122.70393203309685,41.36961465417227
7,526033.1853672118,4195595.208335754,37.907516579617884,-122.7038572984712,54.47852754838044
7,526041.7135646662,4195601.311688315,37.90757134452551,-122.7037600658837,54.47852754838044
8,525620.3034831478,4194559.074680207,37.89818970052964,-122.70859084192664,151.2974374716373
8,525625.7146972477,4194549.30565823,37.89810150053854,-122.70852964191202,151.2974374716373
9,525628.7763768156,4194551.00157044,37.898116699458846,-122.70849475808441,331.29749645620046
9,525623.3651627157,4194560.770592418,37.898204899467736,-122.70855595806977,331.29749645620046
10,526593.5491782979,4198608.0876743775,37.93465513483251,-122.69737165934608,256.4145564180292
10,526583.7937668777,4198605.706516478,37.93463395920337,-122.69748276016506,256.52632600108603
10,526574.0304323616,4198603.343536324,37.93461294753444,-122.69759395041154,256.52625726607755
10,526564.2670978457,4198600.9805561695,37.934591935760096,-122.69770514059542,256.52618852414025
10,526554.5037633296,4198598.617576015,37.93457092388033,-122.69781633071663,256.5261198048812
10,526544.7404288136,4198596.254595861,37.93454991189516,-122.69792752077524,256.5260510705267
10,526534.9770942975,4198593.8916157065,37.93452889980459,-122.6980387107712,256.52598235129585
10,526525.2137597816,4198591.528635552,37.93450788760862,-122.69814990070455,256.52591361137985
10,526515.4504252652,4198589.165655398,37.93448687530723,-122.69826109057524,256.52584487645584
10,526505.6870907495,4198586.802675243,37.93446586290043,-122.6983722803833,256.5257761421576
10,526495.9237562334,4198584.439695088,37.93444485038821,-122.69848347012874,256.52570742132366
10,526486.1604217173,4198582.076714934,37.934423837770595,-122.69859465981155,256.52563869325485
10,526476.3970872014,4198579.7137347795,37.93440282504758,-122.6987058494317,256.52556996262325
10,526466.6337526853,4198577.350754625,37.93438181221915,-122.69881703898923,256.52550122611024
10,526456.8704181693,4198574.987774471,37.934360799285315,-122.69892822848414,256.52543250004874
10,526447.1070836532,4198572.6247943165,37.93433978624607,-122.69903941791638,256.52536376159867
10,526437.3320850562,4198570.258948744,37.9343187476151,-122.69915074012347,256.13058759251805
